fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
TheL13.009,TheL13.01_09.JPG,lake,Theimer,F,66.55,1.203635291,1.94616196,5.675686638,13.98463569,15.61061317,4.39,21.69881229,3.471664526,12.16509229,10.60608422,7.680254322,1.430512592,10.3357845
TheL13.010,TheL13.01_10.JPG,lake,Theimer,F,68.49,1.346726546,1.818926557,5.903456195,13.65734603,15.61284306,4.92,22.49522545,3.545967273,11.95484727,9.972192727,7.36828,1.471269091,9.499195268
TheL13.013,TheL13.01_13.JPG,lake,Theimer,F,65.97,1.289475791,1.998134532,5.545828962,14.2959469,15.31223011,4.09,22.05052373,3.60281321,11.81620709,10.33936652,7.550801656,1.481257778,9.740187969
TheL13.014,TheL13.01_14.JPG,lake,Theimer,M,69.78,1.167249759,2.090387848,6.547209555,15.52515793,15.61837508,4.24,24.57591327,3.267457651,13.64628584,11.33317419,8.717302842,1.48015342,11.00057465
TheL13.017,TheL13.01_17.JPG,lake,Theimer,M,69.46,1.474884031,2.165491864,6.474044368,15.89437768,15.37983431,3.77,23.29079944,3.692760644,12.19512858,10.86491755,7.620317736,1.547159534,10.55978543
TheL13.018,TheL13.01_18.JPG,lake,Theimer,M,64.51,1.17555604,2.325675823,5.771013387,15.01026127,15.38200351,3.88,23.07932307,3.874703338,12.23444777,10.44775449,7.494004722,1.708669806,10.15345756
TheL13.019,TheL13.01_19.JPG,lake,Theimer,M,71.03,1.280844815,2.18854858,6.325389743,14.30338078,15.77171468,3.85,23.80251329,3.710670257,12.76868006,11.12535627,7.806028906,1.642803793,10.71838539
TheL13.022,TheL13.01_22.JPG,lake,Theimer,F,74.77,1.407774055,2.406975815,6.605907006,13.89137839,15.3099207,4.39,24.32493874,4.161998206,12.93425445,11.77422557,7.303784136,1.336476622,11.31085067
TheL13.026,TheL13.01_26.JPG,lake,Theimer,F,70.59,1.347892528,2.11752472,5.874894195,14.62383625,15.76963636,4.27,23.34367037,4.411296296,12.12899259,11.21629259,6.958625926,1.244466667,10.76351353
TheL13.032,TheL13.01_32.JPG,lake,Theimer,M,65.71,1.246720382,2.147541908,5.710713377,14.49111689,15.30404559,4.58,20.83597918,3.517219387,11.1024692,10.00339602,6.780704558,1.128101272,9.82713821
TheL13.034,TheL13.01_34.JPG,lake,Theimer,M,65.19,1.332985424,2.178631717,6.264933825,14.95834826,15.8510202,3.59,23.04871562,3.659577582,12.22602171,10.71501708,7.237083236,1.65241676,10.58187437
TheL13.036,TheL13.01_36.JPG,lake,Theimer,M,67.34,1.145439793,2.147981861,6.128942484,15.84236583,15.77359579,4.72,23.44565255,3.321346794,12.40277254,10.34701597,7.071584931,1.431278919,10.08488645
TheL13.038,TheL13.01_38.JPG,lake,Theimer,M,68.28,1.193120633,2.087982887,5.903021218,13.75594134,15.8510202,4.28,24.13106204,3.686131387,12.36731022,10.84383942,7.513729927,1.43639781,10.66855181
TheL13.039,TheL13.01_39.JPG,lake,Theimer,M,68.38,1.19676219,2.004335273,6.005374632,15.4057008,15.77171468,4.81,23.07564798,4.01863746,12.44208822,11.11264919,7.03177981,1.188763949,10.98565439
TheS13.001,TheS13.01_01.JPG,stream,Theimer,M,56.38,1.159399652,1.722840052,5.090439336,12.65521877,17.21705094,3.44,19.22569179,2.348739403,10.32708687,8.824776211,6.084953904,1.17382878,8.719676834
